timestamp,ambient (ground),tank (left),ambient (tank),tank (right),line (outer),line (inner)
1564273540.04,519,598,526,605,526,481
1564273541.05,519,598,526,605,526,481
1564273542.05,519,598,525,605,526,481
1564273543.05,519,598,525,605,526,481
1564273544.05,519,598,525,605,526,481
1564273545.05,519,598,525,605,526,481
1564273546.06,519,598,526,605,526,481
1564273547.06,519,598,526,605,526,481
1564273548.06,519,598,526,605,526,481
1564273549.06,518,598,526,605,526,481
1564273550.07,519,598,526,605,526,481
1564273551.06,518,597,526,605,526,481
1564273552.07,518,598,526,605,526,481
1564273553.07,518,598,526,605,526,481
1564273554.07,518,598,527,605,526,481
1564273555.07,519,598,526,605,526,481
1564273556.07,518,598,527,605,526,481
1564273557.08,518,598,527,605,525,481
1564273558.08,518,598,526,605,526,481
1564273559.08,518,598,526,605,526,481
1564273560.08,518,598,526,605,526,481
1564273561.09,518,598,526,605,526,481
1564273562.09,518,598,526,605,526,481
1564273563.09,518,598,526,605,526,481
1564273564.09,518,598,527,604,526,481
1564273565.09,518,598,527,604,526,481
1564273566.1,518,598,527,603,526,481
1564273567.1,519,598,527,604,526,481
1564273568.1,518,598,528,603,526,481
1564273569.1,519,598,527,603,526,481
1564273570.11,518,598,527,604,526,481
1564273571.1,518,598,527,604,526,481
1564273572.11,518,598,526,604,526,481
1564273573.11,518,598,526,604,526,481
1564273574.11,518,599,525,604,526,481
1564273575.11,518,598,525,604,526,481
1564273576.11,518,598,525,604,526,482
1564273577.12,518,598,524,604,526,482
1564273578.12,518,598,523,604,526,481
1564273579.12,518,598,523,604,526,481
1564273580.12,518,598,523,604,526,481
1564273581.13,518,598,523,604,526,481
1564273582.13,518,598,523,605,526,481
1564273583.13,518,598,523,604,526,481
1564273584.13,518,598,524,604,526,481
1564273585.13,518,597,524,605,526,481
1564273586.14,518,598,524,604,526,482
1564273587.13,519,598,524,604,526,481
1564273588.14,518,598,524,604,526,481
1564273589.14,518,598,524,605,526,482
1564273590.14,519,598,523,604,526,481
1564273591.14,518,598,524,604,526,481
1564273592.15,518,598,524,604,526,481
1564273593.15,518,598,524,604,526,481
1564273594.15,518,598,524,604,525,481
1564273595.15,519,598,524,604,526,481
1564273596.15,518,598,524,604,525,481
1564273597.16,518,598,524,604,525,481
1564273598.16,518,598,524,604,526,481
1564273599.16,518,598,524,604,526,481
1564273600.16,518,598,524,604,526,481
1564273601.17,518,598,524,604,525,480
1564273602.17,518,598,524,604,526,480
1564273603.17,518,598,524,604,525,481
1564273604.17,518,598,523,604,525,480
1564273605.17,518,597,524,604,525,480
1564273606.18,518,598,524,605,525,480
1564273607.17,518,598,524,604,525,480
1564273608.18,518,598,524,604,525,480
1564273609.18,518,597,524,604,525,480
1564273610.18,518,598,524,604,525,480
1564273611.18,518,598,524,604,525,481
1564273612.19,518,598,524,605,525,480
1564273613.19,518,598,524,605,525,480
1564273614.19,518,598,523,604,525,480
1564273615.19,518,598,524,604,525,480
1564273616.19,518,598,524,604,525,480
1564273617.2,518,597,524,605,525,480
1564273618.2,518,598,524,605,525,480
1564273619.2,518,598,524,605,525,480
1564273620.2,518,598,524,605,525,480
1564273621.2,518,598,524,604,525,480
1564273622.21,518,598,525,604,525,480
1564273623.21,518,598,525,604,525,480
1564273624.21,518,598,525,605,525,480
1564273625.21,518,598,525,605,525,480
1564273626.21,517,598,525,604,525,481
1564273627.21,518,598,525,604,525,480
1564273628.22,518,598,525,604,525,480
1564273629.22,517,598,524,604,525,480
1564273630.22,518,598,524,604,525,480
1564273631.22,517,598,524,604,525,480
1564273632.23,518,598,524,604,525,480
